,index,municipio_pop,populacao
0,1752,Amparo de São Francisco,2386
1,1753,Aquidabã,21796
2,1754,Aracaju,672614
3,1755,Arauá,9840
4,1756,Areia Branca,18825
5,1757,Barra dos Coqueiros,31439
6,1758,Boquim,26980
7,1759,Brejo Grande,8396
8,1760,Campo do Brito,18325
9,1761,Canhoba,4003
10,1762,Canindé de São Francisco,30894
11,1763,Capela,34808
12,1764,Carira,22393
13,1765,Carmópolis,17232
14,1766,Cedro de São João,5929
15,1767,Cristinápolis,18181
16,1768,Cumbe,4008
17,1769,Divina Pastora,5290
18,1770,Estância,69919
19,1771,Feira Nova,5617
20,1772,Frei Paulo,15688
21,1773,Gararu,11599
22,1774,General Maynard,3421
23,1775,Gracho Cardoso,5831
24,1776,Ilha das Flores,8522
25,1777,Indiaroba,18337
26,1778,Itabaiana,96839
27,1779,Itabaianinha,42399
28,1780,Itabi,4869
29,1781,Itaporanga d'Ajuda,35054
30,1782,Japaratuba,19067
31,1783,Japoatã,13422
32,1784,Lagarto,106015
33,1785,Laranjeiras,30327
34,1786,Macambira,7002
35,1787,Malhada dos Bois,3715
36,1788,Malhador,12689
37,1789,Maruim,17328
38,1790,Moita Bonita,11361
39,1791,Monte Alegre de Sergipe,15315
40,1792,Muribeca,7653
41,1793,Neópolis,18688
42,1794,Nossa Senhora Aparecida,8822
43,1795,Nossa Senhora da Glória,37715
44,1796,Nossa Senhora das Dores,26957
45,1797,Nossa Senhora de Lourdes,6509
46,1798,Nossa Senhora do Socorro,187733
47,1799,Pacatuba,14650
48,1800,Pedra Mole,3309
49,1801,Pedrinhas,9727
50,1802,Pinhão,6678
51,1803,Pirambu,9436
52,1804,Poço Redondo,35461
53,1805,Poço Verde,24003
54,1806,Porto da Folha,28788
55,1807,Propriá,29756
56,1808,Riachão do Dantas,19813
57,1809,Riachuelo,10354
58,1810,Ribeirópolis,18891
59,1811,Rosário do Catete,11158
60,1812,Salgado,20051
61,1813,Santa Luzia do Itanhy,14205
62,1814,Santana do São Francisco,7906
63,1815,Santa Rosa de Lima,3933
64,1816,Santo Amaro das Brotas,12200
65,1817,São Cristóvão,92090
66,1818,São Domingos,11276
67,1819,São Francisco,3837
68,1820,São Miguel do Aleixo,3964
69,1821,Simão Dias,40724
70,1822,Siriri,9046
71,1823,Telha,3271
72,1824,Tobias Barreto,52861
73,1825,Tomar do Geru,13534
74,1826,Umbaúba,25800
